CROSS BORDER TRADE CONFIRMATION,,,,,,,,,,,,,,,,,,
FROM : CDTKL,,,,,,,,,,,,,,,,,,
"sg.ce@cgs-cimb.com
Hunting Line: 0065-6232 5888",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
No,Session,DR Code,"Client Code
(Local)",Omnibus/GK Acc No,Order Date,GTD EXPIRY DATE,B/S,Market,Instrument Code,Securities/Stock Name,Order.QTY,Order.Price,MY Order Taken By,SG Order Placed By,Status,Remarks,Done Quantity,Done Price,Settlement Currency
1,Day,CSY,255048,68380,11/08/2025,29/08/2025,SELL,LSE,PALMP.L,PANTHER METALS," 4,000 ",100P,Haris,Joseph,,,,
2,Day,BG7,19076,68380,25/08/2025,29/08/2025,BUY,ASX,ALK.AX,Alkane Resources Ltd,"20,000",0.79,Aizat,Sean,,,,
3,Day,BG7,19076,68380,25/08/2025,29/08/2025,BUY,ASX,ALK.AX,Alkane Resources Ltd,"16,000",0.85,Aizat,Sean,,,,
4,Day,BG7,19076,68380,25/08/2025,29/08/2025,SELL,ASX,ALK.AX,Alkane Resources Ltd,"22,000",0.985,Aizat,Sean,Done,,"22,000",0.985
5,Day,T60,204112,68380,25/08/2025,,SELL,HKEX,9988.HK,BABA-SW,40,MKT,Dinie,Jonathan,Done,, 40 ,120.50
6,Day,S35,260752,68380,25/08/2025,29/08/2025,BUY,TSE,3350.T,METAPLANET,"2,000",860,Aizat,Kok Hian,Done,,"2,000",860
7,Day,H23,223646,68380,25/08/2025,,SELL,LSE,IGG.L,IG GROUP HOLDINGS,"1,000",1165p,Dinie,Kok Hian,Cancelled,Market closed today,,
8,Day,KT1,STKM96,68380,25/08/2025,,SELL,ASX,EVN.AX,EVOLUTION MINING LTD, 250 ,8.35,Dinie,Kok Hian,Done,, 250 ,8.35
9,Day,PA12,815269,68380,25/08/2025,,BUY,ASX,RIO.AX , RIO TINTO LTD ,500,115.10,Jack,Mabel,,,,
10,Day,PA12,815269,68380,25/08/2025,,BUY,ASX,LYL.AX,Lycopodium Limited ,"1,000",12.5,Jack,Mabel,Done,,"1,000",12.28616
